name,iterations,real_time,cpu_time,time_unit,name,iterations,real_time,cpu_time,real_time_diff,cpu_time_idff,match
Client: RC4-MD5/100/0/1/4/iterations:100/repeats:1,100,5862.4,5871.55,ns,Client: RC4-MD5/100/0/1/4/iterations:100/repeats:1,100,5887.11,5889.91,-0.004214997,-0.003126943,Match
Client: RC4-MD5/10000/0/1/4/iterations:100/repeats:1,100,71247,71268.8,ns,Client: RC4-MD5/10000/0/1/4/iterations:100/repeats:1,100,77414.2,77407.7,-0.086560838,-0.086137272,Match
Client: RC4-MD5/1000000/0/1/4/iterations:100/repeats:1,100,1.32E+07,6.60E+06,ns,Client: RC4-MD5/1000000/0/1/4/iterations:100/repeats:1,100,1.48E+07,7.18E+06,-0.120507977,-0.087357433,Match
Client: RC4-SHA/100/1/1/4/iterations:100/repeats:1,100,32901.7,12359.8,ns,Client: RC4-SHA/100/1/1/4/iterations:100/repeats:1,100,33348.4,12481.9,-0.013576806,-0.009878801,Match
Client: RC4-SHA/10000/1/1/4/iterations:100/repeats:1,100,155488,70547.8,ns,Client: RC4-SHA/10000/1/1/4/iterations:100/repeats:1,100,166207,75672.5,-0.068937796,-0.072641528,Match
Client: RC4-SHA/1000000/1/1/4/iterations:100/repeats:1,100,1.19E+07,5.78E+06,ns,Client: RC4-SHA/1000000/1/1/4/iterations:100/repeats:1,100,1.29E+07,6.33E+06,-0.090363171,-0.094332278,Match
Client: DES-CBC3-SHA/100/2/1/4/iterations:100/repeats:1,100,52572.9,23190.8,ns,Client: DES-CBC3-SHA/100/2/1/4/iterations:100/repeats:1,100,54170.7,23399.8,-0.030392084,-0.009012194,Match
Client: DES-CBC3-SHA/10000/2/1/4/iterations:100/repeats:1,100,1.28E+06,643597,ns,Client: DES-CBC3-SHA/10000/2/1/4/iterations:100/repeats:1,100,1.38E+06,691526,-0.071506954,-0.074470515,Match
Client: DES-CBC3-SHA/1000000/2/1/4/iterations:100/repeats:1,100,1.24E+08,6.25E+07,ns,Client: DES-CBC3-SHA/1000000/2/1/4/iterations:100/repeats:1,100,1.33E+08,6.75E+07,-0.076012245,-0.080053262,Match
Client: DHE-RSA-DES-CBC3-SHA/100/3/1/4/iterations:100/repeats:1,100,51870.9,23103.4,ns,Client: DHE-RSA-DES-CBC3-SHA/100/3/1/4/iterations:100/repeats:1,100,54656.4,24177.1,-0.05370063,-0.046473679,Match
Client: DHE-RSA-DES-CBC3-SHA/10000/3/1/4/iterations:100/repeats:1,100,1.28E+06,641097,ns,Client: DHE-RSA-DES-CBC3-SHA/10000/3/1/4/iterations:100/repeats:1,100,1.37E+06,691134,-0.074700962,-0.078049032,Match
Client: DHE-RSA-DES-CBC3-SHA/1000000/3/1/4/iterations:100/repeats:1,100,1.24E+08,6.25E+07,ns,Client: DHE-RSA-DES-CBC3-SHA/1000000/3/1/4/iterations:100/repeats:1,100,1.33E+08,6.75E+07,-0.076371564,-0.080152873,Match
Client: AES128-SHA/100/4/1/4/iterations:100/repeats:1,100,36707.3,15282,ns,Client: AES128-SHA/100/4/1/4/iterations:100/repeats:1,100,38920.9,16947.2,FALSE,-0.108964795,Match
Client: AES128-SHA/10000/4/1/4/iterations:100/repeats:1,100,124019,62062.8,ns,Client: AES128-SHA/10000/4/1/4/iterations:100/repeats:1,100,120878,56340.3,0.025326764,0.092204992,Match
Client: AES128-SHA/1000000/4/1/4/iterations:100/repeats:1,100,8.29E+06,4.63E+06,ns,Client: AES128-SHA/1000000/4/1/4/iterations:100/repeats:1,100,7.63E+06,3.89E+06,0.079176015,0.160019365,Match
