2022-02-09T02:11:56+00:00
Running /home/ubuntu/bryce-shang/s2n-tls/build_openssl/bin/s2n_send_recv_benchmark
Run on (8 X 3600.09 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x4)
  L1 Instruction 32 KiB (x4)
  L2 Unified 1024 KiB (x4)
  L3 Unified 36608 KiB (x1)
Load Average: 3.98, 1.87, 1.45
name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"Client: RC4-MD5/100/0/1/4/iterations:100/repeats:1",100,5887.11,5889.91,ns,,,,,
"Client: RC4-MD5/10000/0/1/4/iterations:100/repeats:1",100,77414.2,77407.7,ns,,,,,
"Client: RC4-MD5/1000000/0/1/4/iterations:100/repeats:1",100,1.47702e+07,7.17794e+06,ns,,,,,
"Client: RC4-SHA/100/1/1/4/iterations:100/repeats:1",100,33348.4,12481.9,ns,,,,,
"Client: RC4-SHA/10000/1/1/4/iterations:100/repeats:1",100,166207,75672.5,ns,,,,,
"Client: RC4-SHA/1000000/1/1/4/iterations:100/repeats:1",100,1.29461e+07,6.32535e+06,ns,,,,,
"Client: DES-CBC3-SHA/100/2/1/4/iterations:100/repeats:1",100,54170.7,23399.8,ns,,,,,
"Client: DES-CBC3-SHA/10000/2/1/4/iterations:100/repeats:1",100,1.37679e+06,691526,ns,,,,,
"Client: DES-CBC3-SHA/1000000/2/1/4/iterations:100/repeats:1",100,1.3322e+08,6.74854e+07,ns,,,,,
"Client: DHE-RSA-DES-CBC3-SHA/100/3/1/4/iterations:100/repeats:1",100,54656.4,24177.1,ns,,,,,
"Client: DHE-RSA-DES-CBC3-SHA/10000/3/1/4/iterations:100/repeats:1",100,1.37465e+06,691134,ns,,,,,
"Client: DHE-RSA-DES-CBC3-SHA/1000000/3/1/4/iterations:100/repeats:1",100,1.33314e+08,6.75196e+07,ns,,,,,
"Client: AES128-SHA/100/4/1/4/iterations:100/repeats:1",100,38920.9,16947.2,ns,,,,,
"Client: AES128-SHA/10000/4/1/4/iterations:100/repeats:1",100,120878,56340.3,ns,,,,,
"Client: AES128-SHA/1000000/4/1/4/iterations:100/repeats:1",100,7.62957e+06,3.88654e+06,ns,,,,,
"Client: DHE-RSA-AES128-SHA/100/5/1/4/iterations:100/repeats:1",100,38561.8,17185.4,ns,,,,,
"Client: DHE-RSA-AES128-SHA/10000/5/1/4/iterations:100/repeats:1",100,121049,57105.8,ns,,,,,
"Client: DHE-RSA-AES128-SHA/1000000/5/1/4/iterations:100/repeats:1",100,7.62994e+06,3.88789e+06,ns,,,,,
"Client: AES256-SHA/100/6/1/4/iterations:100/repeats:1",100,38558.1,17151.8,ns,,,,,
"Client: AES256-SHA/10000/6/1/4/iterations:100/repeats:1",100,123929,58182.4,ns,,,,,
"Client: AES256-SHA/1000000/6/1/4/iterations:100/repeats:1",100,7.96712e+06,4.08548e+06,ns,,,,,
"Client: DHE-RSA-AES256-SHA/100/7/1/4/iterations:100/repeats:1",100,38678.2,17200.4,ns,,,,,
"Client: DHE-RSA-AES256-SHA/10000/7/1/4/iterations:100/repeats:1",100,123635,58689.9,ns,,,,,
"Client: DHE-RSA-AES256-SHA/1000000/7/1/4/iterations:100/repeats:1",100,7.96855e+06,4.08489e+06,ns,,,,,
"Client: AES128-SHA256/100/8/1/4/iterations:100/repeats:1",100,40894,17798.6,ns,,,,,
"Client: AES128-SHA256/10000/8/1/4/iterations:100/repeats:1",100,168237,78942.2,ns,,,,,
"Client: AES128-SHA256/1000000/8/1/4/iterations:100/repeats:1",100,1.23412e+07,6.17581e+06,ns,,,,,
"Client: AES256-SHA256/100/9/1/4/iterations:100/repeats:1",100,40455.2,17675.8,ns,,,,,
"Client: AES256-SHA256/10000/9/1/4/iterations:100/repeats:1",100,168845,79063,ns,,,,,
