name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"Server: RC4-MD5/100/0/1/5/iterations:100/repeats:1",100,7369.4,7376.18,ns,,,,,
"Server: RC4-MD5/10000/0/1/5/iterations:100/repeats:1",100,79206.6,79217.2,ns,,,,,
"Server: RC4-MD5/1000000/0/1/5/iterations:100/repeats:1",100,1.7419e+07,7.50514e+06,ns,,,,,
"Server: RC4-SHA/100/1/1/5/iterations:100/repeats:1",100,13515.6,13482,ns,,,,,
"Server: RC4-SHA/10000/1/1/5/iterations:100/repeats:1",100,102354,82693.1,ns,,,,,
"Server: RC4-SHA/1000000/1/1/5/iterations:100/repeats:1",100,1.57488e+07,6.61328e+06,ns,,,,,
"Server: DES-CBC3-SHA/100/2/1/5/iterations:100/repeats:1",100,22973.7,22936.2,ns,,,,,
"Server: DES-CBC3-SHA/10000/2/1/5/iterations:100/repeats:1",100,808665,675268,ns,,,,,
"Server: DES-CBC3-SHA/1000000/2/1/5/iterations:100/repeats:1",100,1.35923e+08,6.57214e+07,ns,,,,,
"Server: DHE-RSA-DES-CBC3-SHA/100/3/1/5/iterations:100/repeats:1",100,22491.2,22454.8,ns,,,,,
"Server: DHE-RSA-DES-CBC3-SHA/10000/3/1/5/iterations:100/repeats:1",100,857125,675172,ns,,,,,
"Server: DHE-RSA-DES-CBC3-SHA/1000000/3/1/5/iterations:100/repeats:1",100,1.35995e+08,6.57518e+07,ns,,,,,
"Server: AES128-SHA/100/4/1/5/iterations:100/repeats:1",100,14447.5,14419.3,ns,,,,,
"Server: AES128-SHA/10000/4/1/5/iterations:100/repeats:1",100,75556.6,56584.6,ns,,,,,
"Server: AES128-SHA/1000000/4/1/5/iterations:100/repeats:1",100,1.04282e+07,3.73507e+06,ns,,,,,
"Server: DHE-RSA-AES128-SHA/100/5/1/5/iterations:100/repeats:1",100,13723.6,13692.4,ns,,,,,
"Server: DHE-RSA-AES128-SHA/10000/5/1/5/iterations:100/repeats:1",100,76069.9,56009.5,ns,,,,,
"Server: DHE-RSA-AES128-SHA/1000000/5/1/5/iterations:100/repeats:1",100,1.04505e+07,3.73312e+06,ns,,,,,
"Server: AES256-SHA/100/6/1/5/iterations:100/repeats:1",100,13932.3,13892.1,ns,,,,,
"Server: AES256-SHA/10000/6/1/5/iterations:100/repeats:1",100,77311.1,57870.1,ns,,,,,
"Server: AES256-SHA/1000000/6/1/5/iterations:100/repeats:1",100,1.07424e+07,3.8733e+06,ns,,,,,
"Server: DHE-RSA-AES256-SHA/100/7/1/5/iterations:100/repeats:1",100,13810.3,13784.3,ns,,,,,
"Server: DHE-RSA-AES256-SHA/10000/7/1/5/iterations:100/repeats:1",100,82096.7,57018.6,ns,,,,,
"Server: DHE-RSA-AES256-SHA/1000000/7/1/5/iterations:100/repeats:1",100,1.07522e+07,3.87586e+06,ns,,,,,
"Server: AES128-SHA256/100/8/1/5/iterations:100/repeats:1",100,15459.3,15418,ns,,,,,
"Server: AES128-SHA256/10000/8/1/5/iterations:100/repeats:1",100,104446,81134.5,ns,,,,,
"Server: AES128-SHA256/1000000/8/1/5/iterations:100/repeats:1",100,1.51125e+07,6.15667e+06,ns,,,,,
"Server: AES256-SHA256/100/9/1/5/iterations:100/repeats:1",100,15246.6,15211.2,ns,,,,,
"Server: AES256-SHA256/10000/9/1/5/iterations:100/repeats:1",100,104957,81783.2,ns,,,,,
"Server: AES256-SHA256/1000000/9/1/5/iterations:100/repeats:1",100,1.53476e+07,6.33941e+06,ns,,,,,
"Server: DHE-RSA-AES128-SHA256/100/10/1/5/iterations:100/repeats:1",100,14825.8,14793.9,ns,,,,,
"Server: DHE-RSA-AES128-SHA256/10000/10/1/5/iterations:100/repeats:1",100,110855,80464.9,ns,,,,,
"Server: DHE-RSA-AES128-SHA256/1000000/10/1/5/iterations:100/repeats:1",100,1.51604e+07,6.16748e+06,ns,,,,,
"Server: DHE-RSA-AES256-SHA256/100/11/1/5/iterations:100/repeats:1",100,14934.6,14905,ns,,,,,
"Server: DHE-RSA-AES256-SHA256/10000/11/1/5/iterations:100/repeats:1",100,112009,81604,ns,,,,,
"Server: DHE-RSA-AES256-SHA256/1000000/11/1/5/iterations:100/repeats:1",100,1.52204e+07,6.28494e+06,ns,,,,,
"Server: AES128-GCM-SHA256/100/12/1/5/iterations:100/repeats:1",100,12565.7,12535.7,ns,,,,,
